,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,Msn,week_year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,330,210,119.34,279.0166667,115.2,267.7591667,118.74,269.3866667,113.5966667,274.4325,103,330.7,39.52,505.56,103.0666667,248.4,108.9,292.2633333,102.1,272.68,37.85,4402.5,552,37,320.5,30.3,61200,2,1,0,0,0,0,0,0
1,1060,310,119.3866667,275.2741667,115.6133333,266.6333333,118.62,269.18,113.45,276.4,102.6666667,329.8666667,37.08,523.2266667,103.3775,252.2808333,108.5666667,291.5833333,101.89,271.74,35.65,4405.6,549.5,32.5,240,27.95,64800,2,1,0,0,0,0,0,0
2,1040,150,122.9733333,316.8333333,119.5533333,276.37,120.3133333,283.3641667,113.8166667,286.8933333,102.8166667,335.2191667,35.14416667,528.7883333,107.1,270.1066667,108.9366667,295.28,101.4133333,271.8683333,36,4408.75,538.5,36,240,26.35,68400,2,1,0,0,0,0,0,0
3,750,210,125.7666667,290.72,121.5066667,273.7958333,121.2833333,283.6133333,115.145,295.3675,105.6933333,444.1666667,32.81666667,521.6033333,105.7933333,257.52,112.64,301.1733333,101.34,270.7133333,36,4411.7,525.5,36,240,24.1,72000,2,1,0,0,0,0,0,0
4,620,140,127.87,274.61,123.5266667,269.7666667,122.24,276.9866667,116.5533333,287.5133333,110.5633333,414.2266667,33.47333333,516.7766667,107.1816667,261.71,114.92,297.2533333,101.34,268.8466667,35,4413.4,524.5,36,240,22.9,75600,2,1,0,0,0,0,0,0
5,1600,130,129.4333333,267.98,125.4333333,264.7133333,122.8166667,274.9766667,120.6533333,285.04,114.6775,318.7758333,34.98,511.5383333,106.65,257.6666667,116.0566667,294.1,101.14,267.1658333,34.35,4416.05,525.5,38.5,240,22.45,79200,2,1,0,0,0,0,0,0
6,340,110,129.19,265.6266667,125.6066667,262.275,121.9075,274.175,125.4583333,279.3075,115.65,305.54,34.43333333,518.6333333,106.2,259.4466667,116.3066667,301.6333333,101.34,271.4466667,33.9,4419.3,534.5,39.5,195,23.55,82800,2,1,0,0,0,0,0,0
7,850,100,127.5966667,269.7633333,123.8233333,264.11,120.8666667,273.2533333,123.0866667,282.6766667,114.9333333,302.3766667,32.78,534.6433333,106.53,267.54,116.38,310.1733333,101.34,275.25,31.3,4422.9,552,36,177,24.1,0,2,0,1,0,0,0,0,0
8,1010,50,125.7816667,273.6791667,122,265.64,120.8,273.24,129.0333333,281.68,113.8166667,300.4566667,28.86,546.27,106.74,274.3716667,115.68,319.4866667,101.34,277.8466667,30.85,4427,552,33.5,240,23.65,3600,2,0,1,0,0,0,0,0
9,270,0,124.18,277.1866667,120.4,267.02,121.025,272.725,126.8583333,275.4333333,112.88,300.7325,25.50333333,556.14,107.0733333,276.1133333,115.1558333,329.2091667,101.8533333,283.58,30.2,4431.3,552,27.5,240,23,7200,2,0,1,0,0,0,0,0
10,210,0,122.7733333,277.44,118.7533333,267.36,121.38,272.5666667,122.5,276.6533333,111.9333333,300.3,24.065,562.425,107.2733333,276.66,115.2,329.58,102.1333333,288.5,29.05,4435.15,554.5,29,240,22.1,10800,2,0,1,0,0,0,0,0
11,270,0,121.3766667,278.9016667,117.6,267.9066667,121.71,273.15,119.7066667,278.38,111.1333333,300,28.18,568.3733333,107.34,274.73,114.6,326.86,102.3333333,292.965,29.65,4438.35,553,33.5,240,22.3,14400,2,0,1,0,0,0,0,0
12,260,0,120.2333333,278.0333333,116.4866667,268.62,121.94,273.54,117.9266667,279.8333333,110.5325,299.575,28.79333333,565.44,107.34,273.6866667,114.4166667,324.465,102.6,296.5333333,29.75,4440.4,556,27.5,240,22.85,18000,2,0,1,0,0,0,0,0
13,240,20,119.3766667,279.08,115.578,270.3966667,121.8066667,273.2933333,116.4966667,280.29,109.9066667,300.39,29.95416667,575.18,107.34,275.0391667,114.0333333,322.7416667,102.8333333,299.4933333,29.9,4443.8,565,26.5,212.5,24.6,21600,2,0,1,0,0,0,0,0
14,340,110,118.84,283.2716667,114.975,271.315,120.8666667,271.74,115.4966667,278.53,109.31,306.17,29.76666667,576.3833333,107.2066667,271.7133333,113.6458333,320.1733333,103.15,298.235,30.6,4448.35,553,30,201.5,23.85,25200,2,0,1,0,0,0,0,0
15,520,60,119.14,291.5933333,114.3222222,270.5211111,120.7833333,271.425,114.8666667,273.5766667,108.2833333,313.7533333,29.5,572.3833333,107.4266667,266.0333333,112.47,307.4416667,102.5333333,287.52,29.85,4452.05,546,30,240,21.8,28800,2,0,1,0,0,0,0,0
16,260,0,118.6866667,277.7733333,113.9266667,268.4616667,120.4333333,270.48,114.4,269.3066667,107.7066667,311.7,24.8675,569.5033333,106.6266667,254.32,111.8,299.6833333,102.1333333,278.8933333,30.05,4455.05,546,30,212.5,21.65,32400,2,0,1,0,0,0,0,0
17,1380,10,118.7,282.94,113.7733333,266.2466667,119.56,269.2166667,117.3866667,270.6333333,108.1333333,297.84,30.11333333,578.64,106.2,248.74,111.1333333,295.5066667,102.0666667,273.24,34.55,4458.05,533.5,30,201.5,24.15,36000,2,0,1,0,0,0,0,0
18,330,0,119.89,276.9366667,114.5833333,266.4016667,119.6516667,268.62,120.8666667,266.5733333,108.5333333,295.13,35.805,566.9416667,106.69,244.92,110.9266667,291.1433333,102.55,271.2916667,39.9,4460.3,503.5,35,210,24.7,39600,2,0,1,0,0,0,0,0
19,1120,0,120.4333333,272.91,115.2,263.6826667,119.78,268.56,119.9566667,263.3216667,107.91,297.8446667,41.24,507.0833333,107.7066667,239.835,111.3833333,284.7138889,102.6,269.6133333,43.25,4461,481,42,198,24.25,43200,2,0,1,0,0,0,0,0
20,910,0,120.4333333,274.54,114.7,262.2450694,119.34,268.96,118.8233333,263.2433333,106.9733333,305.0866667,45.17666667,477.43,107.505,237.515,111,283.3963095,102.7333333,266.7033333,43.75,4461,479,44.5,240,24.1,46800,2,0,1,0,0,0,0,0
21,820,0,120,265.6083333,114.4333333,259.769,119.395,269.4,117.8666667,259.7533333,106.59,306,43.845,463.8433333,108.6111111,234.9916667,110.9266667,281.5146667,102.6,264.69,41.75,4461.75,473.5,40.5,240,20.9,50400,2,0,1,0,0,0,0,0
22,220,0,119.9933333,263.6466667,114.1933333,258.23,119.34,268.9666667,116.9316667,258.3983333,106.2,306,40.53333333,477.7,108.8308333,233.5983333,111.1975,280.3258333,102.7333333,262.62,39.9,4463.05,471,27.5,240,18.9,54000,2,0,1,0,0,0,0,0
23,240,0,120.6,260.7066667,114.6115559,255.50875,119.1733333,268.38,116.4933333,256.0133333,105.8666667,305.9266667,38.83333333,449.7933333,110.2240635,228.3150159,112.3176136,274.9050316,103,261.44,38.3,4464.15,474.5,31.5,212.5,18,57600,2,0,1,0,0,0,0,0
24,1310,120,120.1333333,257.6558333,113.6722222,255.26,118.9733333,267.7233333,115.9133333,257.9733333,105.5333333,304.9,35.85666667,475.075,108.4237374,229.1974495,111.3363636,275.625,102.5666667,258.535,36.25,4466.45,475,42,201.5,15.8,61200,2,0,1,0,0,0,0,0
25,350,100,120.2333333,263.82,114.085,260.055,118.94,266.46,120.9166667,259.4816667,105.1,305.5616667,30.08666667,515.5066667,109.0783333,235.58,111.9266667,280.4875,102.0666667,256.7666667,30.9,4468.95,525,39.5,240,19.35,64800,2,0,1,0,0,0,0,0
26,330,0,120.5333333,263.6433333,116.22,257.0383333,118.74,264.9066667,118.6633333,255.27,105,306.0566667,29.12666667,544.17,107.91,234.15,111.3333333,280.9916667,101.67,256.9233333,28.05,4470.5,551,38.5,240,20.4,68400,2,0,1,0,0,0,0,0
27,310,0,120.0933333,259.715,115.7866667,254.78,118.74,265.74,117.1966667,254.9666667,104.89,304.6633333,26.81333333,556.1058333,106.84,233.6666667,110.56,284.3266667,101.34,257.2716667,27.5,4472.95,553,39.5,240,20.4,72000,2,0,1,0,0,0,0,0
28,250,30,119.0733333,256.2933333,114.6444444,253.6030303,118.59,265.0033333,115.9733333,255.0233333,104.34,302.6233333,26.70666667,564.58,106.1795455,234.2522727,109.94,284.0783333,101.14,257.1066667,29.7,4476.15,538.5,38.5,212.5,20.65,75600,2,0,1,0,0,0,0,0
29,280,10,118.06,256.7866667,113.690625,253.1024107,118.41,265.4,115.32,258.2466667,104.34,302.5666667,30.4425,564.01,107.0178788,243.8741919,111.2009258,293.9359124,101.4133333,266.3733333,32.3,4478.2,518,39.5,201.5,19.5,79200,2,0,1,0,0,0,0,0
30,260,0,117.1333333,258.525,112.8431818,257.0079167,118.84,267.6266667,114.6,260.9266667,103.8733333,306.2933333,33.60666667,521.1466667,106.9073611,251.1185833,111.872619,306.145,102,276.5466667,34.25,4481.6,494,41,240,16.9,82800,2,0,1,0,0,0,0,0
31,190,0,116.3766667,259.7133333,112.111544,259.6863492,119.2733333,268.9183333,113.6333333,261.9666667,103.74,309.18,34.62666667,502.2566667,107.1292857,257.7645714,112.6564286,312.1075198,102,282.2766667,34.25,4486.4,500,48,207.5,18.2,0,2,0,0,1,0,0,0,0
32,290,0,115.7733333,261.4066667,111.3888889,261.3358333,119.0066667,268.9133333,113.04,263.25,103.74,310.9533333,32.69333333,529.2533333,107.34,263.0705556,112.2514286,318.0029167,102.1666667,288.47,31.8,4490.95,535.5,48,147,22,3600,2,0,0,1,0,0,0,0
33,270,0,115.29,262.7733333,110.9830769,262.7681731,119.4133333,269.8666667,112.53,264.3666667,103.53,312.4033333,33.17333333,526.2333333,107.979375,268.1832639,112.355,329.1921429,102.5333333,294.8575,32.3,4496.15,541,48,133.5,23.15,7200,2,0,0,1,0,0,0,0
34,190,0,114.6,264.1133333,110.4623737,262.8144444,119.1733333,269.9641667,112.1333333,264.98,103.2,313.7733333,34.28666667,505.24,108.1333333,268.4005556,112.345,326.8972222,102.6,297.8333333,32.75,4503,534,48,144,22.55,10800,2,0,0,1,0,0,0,0
35,270,0,114.0666667,264.5533333,109.8605882,263.4611111,119.1066667,270.24,111.5666667,265.0716667,103.2,315.1133333,34.47666667,480.9466667,108.1055556,268.6672222,112.2895455,324.1292308,103,299.3133333,31.9,4508.95,536.5,48,139,21.95,14400,2,0,0,1,0,0,0,0
36,250,0,113.4133333,265.32,109.408125,263.98125,119.45,270.51,111.0666667,265.2,103.0666667,316.2333333,32.77666667,473.3133333,108.0125,269.8793815,112.2,321.6834226,103.2,300.7866667,30.7,4513.65,540,45.5,134.5,21.1,18000,2,0,0,1,0,0,0,0
37,400,30,113.215,268.4983333,109.1545455,265.3176894,118.7616667,268.6566667,110.4866667,264.8333333,106.1766667,381.3833333,33.39,473.8266667,108.2174603,273.0272619,112.0519481,319.6579879,103.2,301.82,30.25,4519.55,537.5,39.5,180.5,20.4,21600,2,0,0,1,0,0,0,0
38,380,20,112.84,267.6166667,108.6,264.2058333,117.1333333,263.92,110.1733333,264,114.0316667,405.62,33.54,477.6633333,107.925,267.0447917,111.35,312.7258333,103.1,298.1766667,30.35,4524.4,536.5,33.5,190,20.4,25200,2,0,0,1,0,0,0,0
39,1250,100,112.74,264.0233333,108,260.9216667,116.7066667,262.7133333,110.42,262.71,109.5291667,339.7108333,33.10666667,476.38,106.63,249.934,110.25,301.1691667,102.5,285.5533333,30,4528.05,535,27.5,142.5,19.9,28800,2,0,0,1,0,0,0,0
40,1320,160,114.1775,266.0475,109.78,261.15,116.7433333,261.9433333,118.65,261.94,109.0466667,335.3,33.36,475.36,106.5066667,250.1383333,109.56,295.0466667,102,275.1633333,30,4532.95,528,26.5,201.5,18.95,32400,2,0,0,1,0,0,0,0
41,400,90,115.32,265.56,112.1166667,261.61,116.7433333,262.7033333,120.2766667,255.4933333,107.49,326.31,34.13,473.91,105.8666667,247.1,108.91,293.0783333,102.4,280.04,31.25,4537.4,510.5,30,212.5,16.85,36000,2,0,0,1,0,0,0,0
42,360,50,115.5,270.5866667,112.2233333,259.1983333,116.3833333,261.4433333,118.18,254.18,106.41,320.7133333,36.95,448.5066667,105.0666667,239.7066667,107.9966667,285.1133333,101.6333333,271.84,34.25,4541.45,473.5,32.5,201.5,13.65,39600,2,0,0,1,0,0,0,0
43,250,0,115.1,261.5466667,111.2,251.7133333,116.355,262.0625,116.3533333,256.9066667,105.7666667,314.1066667,40.96166667,396.1333333,104.8716667,234.15,107.4133333,279.58,101.34,260.9508333,34.75,4544.45,461,33.5,212.5,12.1,43200,2,0,0,1,0,0,0,0
44,210,0,114.3666667,251.2666667,110.6333333,246.5733333,115.68,258.0466667,114.8666667,250.6333333,105.1,306.9233333,42.18,370.44,104.56,229.0833333,106.9733333,274.035,101.34,254.3933333,36.5,4545.95,450.5,30,169,11.4,46800,2,0,0,1,0,0,0,0
45,270,0,114.0333333,247.4666667,110.3766667,242.7483333,115.56,256.3666667,114.1333333,249.87,104.56,301.2266667,41.32666667,358.7866667,105.6733333,225.4066667,107.2933333,269.2866667,101.2733333,251.4433333,39.9,4544.85,421,32.5,194.5,9.15,50400,2,0,0,1,0,0,0,0
46,250,0,115.1908333,245.1316667,111.5633333,239.4733333,115.8066667,254.4166667,114.9233333,245.5133333,104.34,296.64,46.64333333,315.0416667,110.4916667,217.9916667,110.4466667,261.2666667,101.56,247.9075,38.05,4544.05,399,31,240,3.25,54000,2,0,0,1,0,0,0,0
47,480,0,116.2733333,244.04,112.65,238.0766667,115.74,251.9333333,115.3033333,241.57,104.24,294.08,40.62,317.9666667,113.3466667,219.7866667,113.87,262.7283333,102.1333333,245.78,34.9,4544.15,398,21.5,240,-0.1,57600,2,0,0,1,0,0,0,0
48,580,20,115.8066667,244.3666667,112.2,238.35,115.74,252.21,113.8466667,239.86,103.74,293.07,29.01333333,353.7766667,111.7133333,218.5666667,115.5066667,266.94,101.78,241.5,26.75,4543.8,441,18,240,0.35,61200,2,0,0,1,0,0,0,0
49,670,50,115.68,244.7066667,112.2,239.5933333,115.35,251.8016667,112.8133333,240.5533333,103.62,292.0833333,19.64666667,412.6175,109.6333333,214.9566667,118.21,268.7166667,101.1816667,240.0808333,19.7,4543.8,492,18,212.5,2.5,64800,2,0,0,1,0,0,0,0
50,1280,100,116.1733333,250.38,113.0066667,241.3666667,115.56,251.3066667,112.0666667,241.5691667,105.01,345.3766667,12.77333333,455.9133333,109.3833333,221.5133333,118.74,270.1066667,100.74,239.9966667,17.45,4542.8,531.5,23,174,7,68400,2,0,0,1,0,0,0,0
51,1490,120,117.1966667,248.7366667,114.2,243.3266667,115.2,254.1066667,114.3233333,247.9833333,109.86,491.7666667,9.866666667,496.44,110.78,229.0366667,118.56,270.8075,100.35,241.2233333,18.7,4541.4,530.5,30,201.5,8.4,72000,2,0,0,1,0,0,0,0
52,1880,30,117.6,249.8733333,114.7333333,245.2833333,116.32,263.12,117.58,245.17,111.3333333,529.0333333,8.058333333,512.2416667,110.04,227.9083333,118.62,273.9066667,100.0166667,240.7258333,17.25,4540.15,531.5,30,212.5,7.15,75600,2,0,0,1,0,0,0,0
53,790,10,117.4,252.545,114.13,244.5766667,125.0766667,275.4416667,115.4033333,239.6566667,114.9816667,481.0966667,8.216666667,528.8833333,109.32,227.44,118.1266667,277.7266667,99.6,241.7933333,17.45,4537.15,523,32.5,201.5,5.65,79200,2,0,0,1,0,0,0,0
54,250,0,116.3533333,252.6866667,112.8833333,247.7,123.4433333,265.2033333,113.6416667,246.1075,111.1466667,420.8166667,11.28333333,537.4858333,108.8,234.1533333,117.6,287.31,99.66666667,253.6466667,18.2,4534.4,523.5,33.5,212.5,6.5,82800,2,0,0,1,0,0,0,0
55,280,0,115.3133333,252.48,111.6666667,247.8866667,121.35,261.1666667,112.44,248.3133333,109.31,403.5366667,9.253333333,539.32,108.6,241.3733333,117.33,296.17,99.81666667,261.4383333,17.05,4531,536.5,30,169,7.7,0,2,0,0,0,1,0,0,0
56,220,0,114.3,252.42,110.6333333,247.62,120.0533333,259.98,111.6,249.76,107.77,394.2933333,11.62666667,553.5,108.6,248.655,116.24,304.0766667,100.0666667,269.5533333,17.15,4526.2,547.5,30,164.5,9.15,3600,2,0,0,0,1,0,0,0
57,260,0,113.4233333,252.87,109.56,248.0333333,119.14,259.5,110.7433333,250.85,106.5,386.3733333,15.33833333,558.6716667,108.6,253.7366667,115.68,306.42,100.2,277.3366667,17.8,4520.9,548,32.5,198,9.95,7200,2,0,0,0,1,0,0,0
58,270,0,112.53,253.41,108.8333333,248.915,118.74,259.7666667,110.1066667,251.8333333,105.9333333,381.1666667,17.96333333,553.8533333,108.6,254.3933333,115.0666667,304.5733333,100.2,281.035,19.7,4515.4,534,33.5,210,10.1,10800,2,0,0,0,1,0,0,0
59,210,0,111.9666667,253.74,108.2333333,249.36,118.3125,259.8291667,109.59,252.6,104.9933333,376.7733333,18.27,547.4066667,108.2833333,254.005,114.4,302.8533333,100.26,284.3733333,20.15,4509.85,536.5,32.5,170.5,10.8,14400,2,0,0,0,1,0,0,0
60,270,0,111.3333333,254.46,107.5233333,250.0466667,118.35,259.35,108.95,253.5433333,104.3616667,373.7633333,18.74666667,544.59,108,254.8533333,113.9841667,302.4183333,100.38,286.8333333,20.05,4504,540,33.5,169,11.05,18000,2,0,0,0,1,0,0,0
61,240,10,110.6333333,255.18,106.89,250.7533333,118.74,259.9233333,108.6,254.92,103.8733333,372.26,22.38,539.2466667,107.9266667,255.9,113.3066667,302.9933333,100.32,288.6533333,21.9,4499.45,537.5,40,164.5,12.65,21600,2,0,0,0,1,0,0,0
62,1360,50,110.34,260.8925,106.74,253.8533333,118.0166667,259.3658333,109.9866667,256.96,103.53,365.0866667,22.81333333,538.5308333,107.67,256.035,112.7233333,300.9266667,100.485,288.155,23.25,4495.5,541.5,51.5,148,14.65,25200,2,0,0,0,1,0,0,0
63,960,30,110.34,261.8766667,106.26,255.38,116.5,256.86,112.17,251.52,103.2,347.4816667,22.06333333,557.23,106.6833333,243.5666667,111.6,289.7933333,100.2,278.0166667,16.2,4494.9,567,35.5,157.5,11.25,28800,2,0,0,0,1,0,0,0
64,1010,100,110.9833333,259.9733333,107.8616667,252.9575,115.4933333,253.9333333,111.3666667,249.8566667,103.96,308.8466667,14.64333333,564.4033333,105.7666667,235.8966667,110.3533333,279.5375,100.335,274.1716667,9.3,4495,580.5,25.5,222.5,6.5,32400,2,0,0,0,1,0,0,0
65,3230,80,112.47,261.2766667,110.77,251.5233333,116.99,262.195,112.35,253.73,104.1733333,307.3066667,14.20333333,569.6266667,104.96,231.5575,109.44,274.1133333,101.14,277.74,12.4,4492.7,565,31,240,7.45,36000,2,0,0,0,1,0,0,0
66,1430,70,115.1108333,261.4433333,113.9366667,245.63,128.1,282.57,113.04,253.85,103.1,318.2983333,17.44666667,573.5133333,104.4133333,229.04,108.6,270.7066667,101.4866667,275.8666667,15.3,4492.65,555.5,26.5,240,8.8,39600,2,0,0,0,1,0,0,0
67,1700,10,120.92,270.2933333,118.5458333,242.8391667,131.02,274.0433333,113.78,257.2466667,102.6,319.2,20.86,575.5866667,104.34,227.8666667,108,268.8866667,102.2666667,276.18,20.65,4490.85,542,32.5,240,11.95,43200,2,0,0,0,1,0,0,0
68,420,0,126.4533333,258.5866667,121.8266667,239.7866667,133.1216667,265.7641667,113.84,260.0466667,102.5333333,319.1266667,24.07083333,578.5408333,104.5875,227.9666667,108.3,268.15,102.95,282.6383333,26.7,4488.55,520.5,36,240,14.65,46800,2,0,0,0,1,0,0,0
69,780,0,128.09,246.4716667,123.7866667,236.7133333,129.8533333,257.1,114.2508333,260.4175,102.2833333,319.6033333,30.66666667,576.4433333,104.89,228.6133333,108.1666667,269.9,103.32,283.2966667,30.55,4485.8,507.5,36,240,16.25,50400,2,0,0,0,1,0,0,0
70,310,0,129.4333333,240.88,126.095,234.8608333,128.42,250.0466667,112.9433333,255.1466667,102.5333333,320.7266667,31.74333333,540.68,104.4133333,228.05,107.5966667,268.91,102.8333333,273.1766667,32.75,4484.9,491.5,36,240,15.5,54000,2,0,0,0,1,0,0,0
71,1850,0,128.7033333,239.4066667,125.43,231.5833333,127.4341667,250.7633333,112.26,253.45,102.6,319.7133333,31.65583333,469.2366667,104.5441667,227.2425,107.7,268.84,102.4,265.4916667,30.4,4486.35,466.5,38.5,240,8.75,57600,2,0,0,0,1,0,0,0
72,2430,30,130.8683333,266.5133333,127.0633333,234.6433333,133.3866667,267.9433333,112.2233333,267.0466667,102.6,319.8866667,28.44666667,451.4533333,106,231.5133333,109.9733333,274.6933333,102,259.8333333,27.35,4487.9,456,39.5,240,3.95,61200,2,0,0,0,1,0,0,0
73,1300,50,132.8,248.1733333,130,233.8025,133.8733333,257.76,112.695,269.5416667,102.6,323.6,27.32416667,438.1883333,106.2,230.5266667,112.2733333,273.43,101.6333333,256.3066667,25.75,4489.6,458.5,38.5,240,2.85,64800,2,0,0,0,1,0,0,0
74,1390,60,134.7666667,265.24,130.4433333,237.6658333,132.4333333,255.7066667,112.94,272.4333333,102.7,324.7533333,24.44333333,443.0833333,106.44,231.08,113.4566667,270.2966667,101.2816667,251.05,22.5,4491.75,484.5,44.5,240,4.3,68400,2,0,0,0,1,0,0,0
75,660,120,136.32,261.2566667,130.57,243.3366667,132,260.9166667,113.56,281.64,109.9883333,428.82,24.61333333,426.7166667,111.2166667,248.34,114.6966667,275.0833333,101.945,262.36,21.9,4493.55,476,53,240,2.05,72000,2,0,0,0,1,0,0,0
76,700,100,136.59,251.4333333,130.8766667,245.9133333,131.2133333,258.8466667,114.8925,279.6125,116.3,380.8333333,23.76166667,373.0833333,117.1466667,254.7933333,117.4666667,275.64,101.4133333,253.4533333,22.75,4495.6,420,55,240,-7.25,75600,2,0,0,0,1,0,0,0
77,290,10,138.6333333,243.2733333,133.2783333,240.07,129.8533333,257.7133333,114.6666667,273.58,115.66,322.7066667,19.91333333,396.3933333,114.18,238.8166667,118.32,275.015,101.88,260.1316667,15.75,4497.25,475,45.5,197.5,-4.5,79200,2,0,0,0,1,0,0,0
78,230,0,141.2566667,239.1166667,136.1866667,237.5066667,128.2166667,258.5183333,112.98,267.3733333,112.88,334.6933333,10.65333333,503.4533333,112.2716667,244.2775,118.2,287.7,102.6,274.5733333,6.9,4496.85,557,47,210.5,1.05,82800,2,0,0,0,1,0,0,0
79,320,0,142.3466667,236.7066667,136.74,236.1133333,127.2,259.4633333,112.0666667,263.8391667,112.0783333,334.1966667,6.836666667,553.7016667,111.6,250.1133333,117.7333333,293.0266667,102.6333333,277.48,2.8,4495.55,579,56.5,267,0,0,2,0,0,0,0,1,0,0
80,310,0,142.2533333,234.4933333,136.56,234.8333333,127.2,259.9233333,111.2666667,261.3933333,111.6,331.83,3.366666667,567.5533333,111.2666667,252.8466667,116.89,295.7141667,103.2,281.4133333,1,4495.7,597.5,60,274,0.5,3600,2,0,0,0,0,1,0,0
81,280,0,140.84,234.8933333,135.2166667,234.21,127.2,260.5333333,110.8533333,260.06,111.0333333,330.11,5.923333333,568.0166667,111,254.3266667,116.34,296.9766667,103.26,284.5133333,4.65,4498.15,576.5,62.5,274.5,1.2,7200,2,0,0,0,0,1,0,0
